"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","time_signature"
0.686,0.372,3,-11.961,1,0.0358,0.639,0,0.132,0.307,122.953,212293,4
0.602,0.796,0,-3.657,0,0.103,0.0682,0.12,0.15,0.265,126.06,245053,4
0.666,0.948,10,-2.776,1,0.0638,0.137,0,0.192,0.523,100.996,211931,4
0.701,0.968,1,-0.913,1,0.078,0.103,0,0.832,0.913,100.009,219533,4
0.708,0.804,4,-7.106,1,0.0516,0.13,0,0.339,0.779,123.449,232773,4
0.823,0.868,7,-6.994,1,0.205,0.00734,0.234,0.293,0.779,124.921,169106,4
0.351,0.544,8,-9.6,1,0.0415,0.709,8.82e-06,0.718,0.163,129.056,221067,4
0.904,0.555,5,-5.157,1,0.082,0.144,0.00864,0.115,0.502,138.084,111304,1
0.533,0.731,7,-6.485,1,0.0283,0.0867,0,0.247,0.85,149.944,189880,4
0.769,0.793,11,-4.25,1,0.0278,0.0206,0,0.0388,0.603,99.649,223187,4
0.227,0.186,11,-13.291,0,0.0352,0.922,0,0.167,0.244,82.996,393080,4
0.796,0.252,9,-9.183,0,0.0442,0.917,0.61,0.0577,0.626,123.039,249813,4
0.853,0.528,11,-8.132,0,0.411,0.41,0,0.0626,0.842,136.983,175357,4
0.643,0.766,6,-4.788,0,0.384,0.307,1.38e-05,0.107,0.463,97.092,191606,4
0.596,0.871,11,-2.616,1,0.0486,0.0044,0.0581,0.168,0.277,150.018,278571,4
0.742,0.747,2,-7.809,1,0.0574,0.0184,0,0.12,0.357,123.943,191867,4
0.836,0.718,10,-4.56,0,0.0581,0.0633,2.35e-05,0.0884,0.342,99.016,171013,4
0.549,0.524,9,-11.472,0,0.0284,0.677,0.872,0.29,0.336,142.401,267267,4
0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,293120,4
0.769,0.405,6,-9.152,1,0.269,0.545,0.000887,0.0521,0.521,78.427,221213,4
0.704,0.716,0,-7.199,1,0.105,0.689,0,0.45,0.629,95.038,311279,4
0.481,0.673,11,-8.379,0,0.315,0.296,0,0.134,0.423,142.702,243893,4
0.734,0.864,8,-4.841,1,0.141,0.0553,0,0.305,0.652,131.146,232667,4
